#Coordinates  RecID  LigID  Luciferin  Neighbor's number  Vision Range  Scoring
(-10.0036773, -1.6927267,  4.6690216, -0.1058316, -0.4849388,  0.5997427, -0.6276486)    0    0 -13.34731820  0 5.000  -8.89821213
(-6.5614691, -3.3762994, 10.5776282, -0.4884717, -0.1444904, -0.7545600, -0.4137114)    0    0   4.75920168  1 5.000   3.21680742
(-3.8759617, -9.5168248, 14.4283257, -0.2741740, -0.8104866, -0.4670855,  0.2230947)    0    0  11.95339721  0 5.000   7.96893147
(-6.3382253,  3.3106954, 16.5389456, -0.5257622,  0.0415576, -0.8454891, -0.0836377)    0    0   6.50299048  0 5.000   4.33532699
(-14.1015372, -0.5127558, 12.5632342, -0.7845227,  0.1866141,  0.5531036, -0.2092264)    0    0   4.30071539  0 5.000   2.86714359
(-6.8927801, -8.6079857,  4.0363021, -0.3024669,  0.6108104, -0.5558079,  0.4759223)    0    0 -11.21244582  0 5.000  -7.47496388
(-6.8695771, -3.3928105, 10.5204083, -0.4884717, -0.1444904, -0.7545600, -0.4137114)    0    0   5.30785240  0 5.000   3.53856827
(-10.0797245, -1.7293946,  4.7504528, -0.1058316, -0.4849388,  0.5997427, -0.6276486)    0    0 -14.68576552  1 5.000 -10.65712848
(-3.8791630, -9.8326803, 14.6447210, -0.2741740, -0.8104866, -0.4670855,  0.2230947)    0    0  11.85044788  1 5.000   7.95545284
(-6.8272184, -1.1516665, 18.2323382, -0.2358095,  0.2153349, -0.9386413,  0.1302969)    0    0  -2.46561830  0 5.000  -1.64374553
